id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0BB47XqC0BbozOvDoPBra,Only Want You,Rita Ora,0.654,0.528,6.0,-6.224,0.0,0.0412,0.0599,7.14e-05,0.0975,0.376,82.014,180760.0,4.0
2nZq5WQOW4FEPxCVTdNGf,Kissin' In The Cold,JP Saxe,0.528,0.343,0.0,-7.62,1.0,0.036,0.777,0.0,0.162,0.342,64.879,224084.0,4.0
2jt2WxXMCD4zjACthkJQV,The Ringer,Eminem,0.939,0.551,1.0,-9.126,1.0,0.291,0.0311,0.0,0.192,0.42,118.552,337941.0,4.0
1v7L65Lzy0j0vdpRjJewt,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,0.686,0.735,2.0,-4.616,1.0,0.264,0.00921,0.00066,0.342,0.0596,171.355,322227.0,4.0
6or1bKJiZ06IlK0vFvY75,Rap God,Eminem,0.708,0.843,7.0,-2.66,1.0,0.314,0.397,0.0,0.799,0.625,148.14,363521.0,4.0
3yfqSUWxFvZELEM4PmlwI,The Real Slim Shady,Eminem,0.949,0.661,5.0,-4.244,0.0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0,4.0
7lQ8MOhq6IN2w8EYcFNSU,Without Me,Eminem,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,4.0
7FIWs0pqAYbP91WWM0vlT,Godzilla (feat. Juice WRLD),Eminem,0.808,0.745,10.0,-5.26,0.0,0.342,0.145,0.0,0.292,0.829,165.995,210800.0,4.0
4xkOaSrkexMciUUogZKVT,'Till I Collapse,Eminem,0.548,0.847,1.0,-3.237,1.0,0.186,0.0622,0.0,0.0816,0.1,171.447,297787.0,4.0
0Gl5s8IhMmQE5YQwM8Qx1,Never Enough,Loren Allred,0.277,0.394,8.0,-8.903,1.0,0.0336,0.423,0.0,0.0952,0.227,86.777,207787.0,3.0
0fiijtFXDJ9MOVwgSaEQJ,Don’t Give Up On Me,Andy Grammer,0.64,0.537,0.0,-5.452,0.0,0.0282,0.0875,9.84e-06,0.11,0.0676,112.868,196188.0,4.0
10Lu5P0waAD6jc9u9HycU,Teddy Bear,Melanie Martinez,0.646,0.656,11.0,-5.505,0.0,0.152,0.242,0.0,0.0613,0.66,126.767,245728.0,5.0
2MbgQKWhoii8bqsMBWWWg,Courage to Change,Sia,0.307,0.606,11.0,-5.567,0.0,0.0347,0.0927,0.0,0.357,0.11,78.828,292656.0,4.0
0jllH0usRFD4LJkJnGK9L,Complicated,Olivia O'Brien,0.657,0.355,7.0,-12.044,1.0,0.0714,0.694,0.000427,0.123,0.0808,74.99,189000.0,4.0
