id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3bnVBN67NBEzedqQuWrpP,Tear in My Heart,Twenty One Pilots,0.655,0.632,2.0,-4.802,1.0,0.0489,0.0189,0.0,0.0722,0.447,120.113,188493.0,4.0
1KGzuR5mFeX4HqpnbWSFq,Chlorine,Twenty One Pilots,0.609,0.674,10.0,-7.388,0.0,0.0548,0.0735,0.06,0.345,0.315,90.009,324467.0,4.0
1rqqCSm0Qe4I9rUvWncao,High Hopes,Panic! At The Disco,0.579,0.904,5.0,-2.729,1.0,0.0618,0.193,0.0,0.064,0.681,82.014,190947.0,4.0
60a0Rd6pjrkxjPbaKzXjf,In the End,Linkin Park,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,4.0
2P61EK6DMGyVyssLWS4fK,Lane Boy,Twenty One Pilots,0.616,0.811,7.0,-4.804,1.0,0.0626,0.0573,1.57e-05,0.0566,0.913,159.929,253093.0,4.0
1s9xuJxhYM0LdVqksjegc,Fairly Local,Twenty One Pilots,0.715,0.723,6.0,-5.993,0.0,0.0569,0.0396,8.57e-05,0.084,0.479,114.985,207160.0,4.0
40sRwFjfrRnaTdYPJIg4C,Hometown,Twenty One Pilots,0.683,0.753,2.0,-5.564,0.0,0.0317,0.0577,0.00208,0.357,0.389,120.03,234947.0,4.0
4Oyl6oYSNeeZZP0OAxPVa,Message Man,Twenty One Pilots,0.715,0.838,2.0,-6.077,0.0,0.118,0.0897,0.0,0.15,0.497,120.007,240080.0,4.0
7GDDxCiTyiQuC1kig8AqF,Next Year - RAC Remix,Two Door Cinema Club,0.731,0.73,7.0,-6.728,1.0,0.0489,0.28,0.0,0.088,0.397,123.051,286093.0,4.0
3CRDbSIZ4r5MsZ0YwxuEk,Stressed Out,Twenty One Pilots,0.734,0.637,4.0,-5.677,0.0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333.0,4.0
5L79aNYCTKiZq7vaOElXY,"Gone, Gone, Gone",Phillip Phillips,0.664,0.642,6.0,-5.961,1.0,0.038,0.129,0.0,0.114,0.501,118.002,209693.0,4.0
6t6oULCRS6hnI7rm0h5gw,Some Nights,fun.,0.672,0.738,0.0,-7.045,1.0,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040.0,4.0
70mHIUa4beJjFpBNyHYwT,Taste The Feeling (Avicii Vs. Conrad Sewell),Avicii,0.633,0.79,6.0,-4.529,1.0,0.0539,0.0335,0.0,0.0626,0.558,89.933,191066.0,4.0
0Zbbxnx4SGGHoIow4PpIS,Stargazing,Kygo,0.677,0.497,5.0,-5.763,1.0,0.0809,0.152,0.0,0.0911,0.419,99.137,236853.0,4.0
1LrrehEWmldzxiqqRIuik,Fade,Egyptian,0.584,0.668,11.0,-7.885,1.0,0.031,0.00354,3e-05,0.11,0.214,89.964,182667.0,4.0
0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,0.585,0.52,5.0,-6.136,0.0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147.0,4.0
05sCp83gcMm1iecYydKJS,Let's Hurt Tonight,OneRepublic,0.359,0.713,5.0,-4.526,1.0,0.0366,0.33,0.0,0.324,0.272,61.519,194520.0,4.0
6dVa7xk5dOoT6pOkDw1TM,Brother,Kodaline,0.493,0.636,10.0,-5.894,1.0,0.049,0.341,0.0,0.201,0.228,120.136,201980.0,4.0
6ZahaGPhyiXTi1pLEtGM6,Sweet Little Lies,bülow,0.648,0.727,0.0,-3.791,1.0,0.142,0.229,0.0,0.17,0.689,160.024,175067.0,4.0
1snWlbcbgQpJfknoI30DW,Darkside,Alan Walker,0.425,0.642,4.0,-5.06,0.0,0.0502,0.164,0.0,0.118,0.112,170.008,211867.0,4.0
6Sq3AiBZZEfiF21x6ESrI,Good Time - R3HAB Remix,Ocean Park Standoff,0.507,0.813,0.0,-5.7,0.0,0.0494,0.00918,0.0,0.259,0.501,145.195,186207.0,4.0
53CJANUxooaqGOtdsBTh7,Old Town Road,Lil Nas X,0.908,0.517,1.0,-6.063,1.0,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,113013.0,4.0
5Y1gZ4zoQBwmzu1KXXlTB,A Capella,Chase Goehring,0.636,0.681,6.0,-6.339,0.0,0.084,0.164,1.18e-06,0.167,0.308,121.933,303263.0,4.0
76t5B0ttSAje5KHmQbv88,Treat You Better,Shawn Mendes,0.683,0.797,10.0,-4.085,0.0,0.246,0.107,0.0,0.114,0.758,82.916,187973.0,4.0
16pwlVsypm4aDKMhXdOuX,Animals,Maroon 5,0.279,0.742,4.0,-6.46,0.0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013.0,4.0
1dNIEtp7AY3oDAKCGg2Xk,Something Just Like This,The Chainsmokers,0.607,0.649,11.0,-6.695,0.0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,247627.0,4.0
0OlnLZY4cmQzT6ZGttvWB,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,0.526,0.52,6.0,-7.985,0.0,0.0569,0.435,0.0,0.197,0.13,149.119,183637.0,4.0
2jTidefcsTu6VQhpIImJr,All I Want,Kodaline,0.209,0.412,0.0,-9.733,1.0,0.0443,0.172,0.15,0.0843,0.162,86.26,305747.0,3.0
5p7ujcrUXASCNwRaWNHR1,Without Me,Halsey,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661.0,4.0
7MXVkk9YMctZqd1Srtv4M,Starboy,The Weeknd,0.679,0.587,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453.0,4.0
7K5kHLi614BVTBjSVfZeA,Give Me Love,Ed Sheeran,0.363,0.326,1.0,-9.877,1.0,0.0637,0.696,0.0,0.11,0.114,172.202,526387.0,3.0
4YutJsNwBBInE8vemufpQ,"Girl Crush - Recorded at Metropolis Studios, London",Harry Styles,0.468,0.197,4.0,-11.727,1.0,0.033,0.658,0.0,0.109,0.249,144.212,243805.0,3.0
0OfWWLuvOlSUypuhLgWtX,Sail Away Sweet Sister - Remastered 2011,Queen,0.512,0.5,9.0,-6.937,1.0,0.0282,0.828,0.0,0.0907,0.196,80.075,213427.0,4.0
3ebXMykcMXOcLeJ9xZ17X,Scared to Be Lonely,Martin Garrix,0.584,0.54,1.0,-7.786,0.0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883.0,4.0
0ct6r3EGTcMLPtrXHDvVj,The Nights,Avicii,0.527,0.835,6.0,-5.298,1.0,0.0433,0.0166,0.0,0.249,0.654,125.983,176658.0,4.0
4RXpgGM7A4Hg7cFBoH5Ky,Hey Brother,Avicii,0.545,0.78,7.0,-4.867,0.0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,255093.0,4.0
7BqBn9nzAq8spo5e7cZ0d,Just the Way You Are,Bruno Mars,0.637,0.843,5.0,-5.413,1.0,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733.0,4.0
1ahVFh0ViDZr8LvkEVlq3,No Sleep (feat. Bonn),Martin Garrix,0.44,0.635,11.0,-6.385,1.0,0.0326,0.129,0.0,0.121,0.327,128.133,207095.0,4.0
3KkXRkHbMCARz0aVfEt68,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.76,0.479,2.0,-5.574,1.0,0.0466,0.556,0.0,0.0703,0.913,89.911,158040.0,4.0
6h5PAsRni4IRlxWr6uDPT,More Than You Know,Axwell /\ Ingrosso,0.646,0.741,5.0,-4.973,0.0,0.034,0.0275,0.0,0.312,0.571,123.077,203000.0,4.0
4pBykn8eWxl3O9JvIHZXj,United,Armin van Buuren,0.643,0.957,1.0,-5.026,1.0,0.0892,0.0565,0.841,0.0763,0.281,138.073,217391.0,4.0
5yVIlYEHZxQVLyInCdldo,Impossible,James Arthur,0.376,0.696,0.0,-4.785,0.0,0.0949,0.141,0.0,0.11,0.303,169.515,209440.0,4.0
2K87XMYnUMqLcX3zvtAF4,Drag Me Down,One Direction,0.73,0.703,0.0,-5.672,0.0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120.0,4.0
1o4XQ7tYJrDxgEpJufbOI,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,0.595,0.736,8.0,-3.115,1.0,0.0406,0.116,0.0,0.0931,0.506,127.956,217347.0,4.0
4ut5G4rgB1ClpMTMfjoIu,High On Life (feat. Bonn),Martin Garrix,0.414,0.486,6.0,-6.431,0.0,0.0311,0.0129,0.0,0.111,0.368,128.038,230762.0,4.0
4n7jnSxVLd8QioibtTDBD,On My Way,Alan Walker,0.509,0.689,1.0,-4.929,0.0,0.102,0.0209,0.0,0.301,0.297,170.087,193798.0,4.0
4VL2XUsn5dHQYdf5nPHGd,Best Song Ever,One Direction,0.654,0.877,1.0,-2.988,1.0,0.045,0.025,0.0,0.0699,0.561,118.499,202440.0,4.0
7cFFhb9Wz2ZXLSpEk2VDK,Way Up,Jaden,0.585,0.941,10.0,-3.278,0.0,0.145,0.03,8.41e-06,0.196,0.45,130.024,153773.0,4.0
