owner,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Treshank,0BB47XqC0BbozOvDoPBra,Only Want You,Rita Ora,0.654,0.528,6.0,-6.224,0.0,0.0412,0.0599,7.140000000000001e-05,0.0975,0.376,82.014,180760.0,4.0
Treshank,2nZq5WQOW4FEPxCVTdNGf,Kissin' In The Cold,JP Saxe,0.528,0.34299999999999997,0.0,-7.62,1.0,0.036000000000000004,0.777,0.0,0.162,0.342,64.87899999999999,224084.0,4.0
Treshank,2jt2WxXMCD4zjACthkJQV,The Ringer,Eminem,0.9390000000000001,0.551,1.0,-9.126,1.0,0.29100000000000004,0.0311,0.0,0.192,0.42,118.552,337941.0,4.0
Treshank,1v7L65Lzy0j0vdpRjJewt,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,0.6859999999999999,0.735,2.0,-4.6160000000000005,1.0,0.264,0.00921,0.00066,0.342,0.0596,171.355,322227.0,4.0
Treshank,6or1bKJiZ06IlK0vFvY75,Rap God,Eminem,0.708,0.843,7.0,-2.66,1.0,0.314,0.397,0.0,0.799,0.625,148.14,363521.0,4.0
Treshank,3yfqSUWxFvZELEM4PmlwI,The Real Slim Shady,Eminem,0.9490000000000001,0.6609999999999999,5.0,-4.244,0.0,0.0572,0.0302,0.0,0.0454,0.76,104.50399999999999,284200.0,4.0
Treshank,7lQ8MOhq6IN2w8EYcFNSU,Without Me,Eminem,0.9079999999999999,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,4.0
Treshank,7FIWs0pqAYbP91WWM0vlT,Godzilla (feat. Juice WRLD),Eminem,0.8079999999999999,0.745,10.0,-5.26,0.0,0.342,0.145,0.0,0.292,0.8290000000000001,165.995,210800.0,4.0
Treshank,4xkOaSrkexMciUUogZKVT,'Till I Collapse,Eminem,0.5479999999999999,0.847,1.0,-3.237,1.0,0.18600000000000003,0.0622,0.0,0.0816,0.1,171.447,297787.0,4.0
Treshank,0Gl5s8IhMmQE5YQwM8Qx1,Never Enough,Loren Allred,0.27699999999999997,0.39399999999999996,8.0,-8.902999999999999,1.0,0.0336,0.423,0.0,0.0952,0.22699999999999998,86.777,207787.0,3.0
Treshank,0fiijtFXDJ9MOVwgSaEQJ,Don’t Give Up On Me,Andy Grammer,0.64,0.537,0.0,-5.452000000000001,0.0,0.0282,0.0875,9.84e-06,0.11,0.0676,112.868,196188.0,4.0
Treshank,10Lu5P0waAD6jc9u9HycU,Teddy Bear,Melanie Martinez,0.6459999999999999,0.6559999999999999,11.0,-5.505,0.0,0.152,0.242,0.0,0.0613,0.66,126.76700000000001,245728.0,5.0
Treshank,2MbgQKWhoii8bqsMBWWWg,Courage to Change,Sia,0.307,0.606,11.0,-5.567,0.0,0.0347,0.0927,0.0,0.35700000000000004,0.11,78.828,292656.0,4.0
